id,account_dest_id/id,account_src_id/id,position_id/id
__setup__.account_fiscal_position_account_743,__custom__.l10n_fr_pcg_604994,__custom__.l10n_fr_pcg_604300,__custom__.fr_fiscal_position_tw
__setup__.account_fiscal_position_account_744,__custom__.l10n_fr_pcg_624294,l10n_fr.1_pcg_6242,__custom__.fr_fiscal_position_tw
__setup__.account_fiscal_position_account_745,__custom__.l10n_fr_pcg_706992,__custom__.l10n_fr_pcg_706001,__custom__.fr_fiscal_position_de
__setup__.account_fiscal_position_account_746,__custom__.l10n_fr_pcg_707992,l10n_fr.1_pcg_7072,__custom__.fr_fiscal_position_de
__setup__.account_fiscal_position_account_747,__custom__.l10n_fr_pcg_706992,__custom__.l10n_fr_pcg_706140,__custom__.fr_fiscal_position_de
__setup__.account_fiscal_position_account_748,__custom__.l10n_fr_pcg_706992,__custom__.l10n_fr_pcg_706150,__custom__.fr_fiscal_position_de
__setup__.account_fiscal_position_account_749,__custom__.l10n_fr_pcg_706992,__custom__.l10n_fr_pcg_706130,__custom__.fr_fiscal_position_de
__setup__.account_fiscal_position_account_750,__custom__.l10n_fr_pcg_708992,l10n_fr.1_pcg_7083,__custom__.fr_fiscal_position_de
__setup__.account_fiscal_position_account_751,__custom__.l10n_fr_pcg_707992,__custom__.l10n_fr_pcg_707000,__custom__.fr_fiscal_position_de
__setup__.account_fiscal_position_account_752,__custom__.l10n_fr_pcg_706992,__custom__.l10n_fr_pcg_706100,__custom__.fr_fiscal_position_de
__setup__.account_fiscal_position_account_753,__custom__.l10n_fr_pcg_706992,__custom__.l10n_fr_pcg_706111,__custom__.fr_fiscal_position_de
__setup__.account_fiscal_position_account_754,__custom__.l10n_fr_pcg_706992,__custom__.l10n_fr_pcg_706160,__custom__.fr_fiscal_position_de
__setup__.account_fiscal_position_account_755,__custom__.l10n_fr_pcg_707992,l10n_fr.1_pcg_7071,__custom__.fr_fiscal_position_de
__setup__.account_fiscal_position_account_756,__custom__.l10n_fr_pcg_708992,l10n_fr.1_pcg_7085,__custom__.fr_fiscal_position_de
__setup__.account_fiscal_position_account_757,__custom__.l10n_fr_pcg_607992,__custom__.l10n_fr_pcg_607050,__custom__.fr_fiscal_position_de
__setup__.account_fiscal_position_account_758,__custom__.l10n_fr_pcg_604992,l10n_fr.1_pcg_604,__custom__.fr_fiscal_position_de
__setup__.account_fiscal_position_account_759,__custom__.l10n_fr_pcg_624292,__custom__.l10n_fr_pcg_613510,__custom__.fr_fiscal_position_de
__setup__.account_fiscal_position_account_760,__custom__.l10n_fr_pcg_607992,l10n_fr.1_pcg_6071,__custom__.fr_fiscal_position_de
__setup__.account_fiscal_position_account_761,__custom__.l10n_fr_pcg_607992,__custom__.l10n_fr_pcg_607021,__custom__.fr_fiscal_position_de
__setup__.account_fiscal_position_account_762,__custom__.l10n_fr_pcg_604992,__custom__.l10n_fr_pcg_604200,__custom__.fr_fiscal_position_de
__setup__.account_fiscal_position_account_763,__custom__.l10n_fr_pcg_604992,__custom__.l10n_fr_pcg_604300,__custom__.fr_fiscal_position_de
__setup__.account_fiscal_position_account_764,__custom__.l10n_fr_pcg_624292,l10n_fr.1_pcg_6242,__custom__.fr_fiscal_position_de
__setup__.account_fiscal_position_account_765,__custom__.l10n_fr_pcg_706991,__custom__.l10n_fr_pcg_706001,__custom__.fr_fiscal_position_us
__setup__.account_fiscal_position_account_766,__custom__.l10n_fr_pcg_707991,l10n_fr.1_pcg_7072,__custom__.fr_fiscal_position_us
__setup__.account_fiscal_position_account_767,__custom__.l10n_fr_pcg_706991,__custom__.l10n_fr_pcg_706140,__custom__.fr_fiscal_position_us
__setup__.account_fiscal_position_account_768,__custom__.l10n_fr_pcg_706991,__custom__.l10n_fr_pcg_706150,__custom__.fr_fiscal_position_us
__setup__.account_fiscal_position_account_769,__custom__.l10n_fr_pcg_706991,__custom__.l10n_fr_pcg_706130,__custom__.fr_fiscal_position_us
__setup__.account_fiscal_position_account_770,__custom__.l10n_fr_pcg_708991,l10n_fr.1_pcg_7083,__custom__.fr_fiscal_position_us
__setup__.account_fiscal_position_account_771,__custom__.l10n_fr_pcg_707991,__custom__.l10n_fr_pcg_707000,__custom__.fr_fiscal_position_us
__setup__.account_fiscal_position_account_772,__custom__.l10n_fr_pcg_706991,__custom__.l10n_fr_pcg_706100,__custom__.fr_fiscal_position_us
__setup__.account_fiscal_position_account_773,__custom__.l10n_fr_pcg_706991,__custom__.l10n_fr_pcg_706111,__custom__.fr_fiscal_position_us
__setup__.account_fiscal_position_account_774,__custom__.l10n_fr_pcg_706991,__custom__.l10n_fr_pcg_706160,__custom__.fr_fiscal_position_us
__setup__.account_fiscal_position_account_775,__custom__.l10n_fr_pcg_707991,l10n_fr.1_pcg_7071,__custom__.fr_fiscal_position_us
__setup__.account_fiscal_position_account_776,__custom__.l10n_fr_pcg_708991,l10n_fr.1_pcg_7085,__custom__.fr_fiscal_position_us
__setup__.account_fiscal_position_account_777,__custom__.l10n_fr_pcg_607991,__custom__.l10n_fr_pcg_607050,__custom__.fr_fiscal_position_us
__setup__.account_fiscal_position_account_778,__custom__.l10n_fr_pcg_604991,l10n_fr.1_pcg_604,__custom__.fr_fiscal_position_us
__setup__.account_fiscal_position_account_779,__custom__.l10n_fr_pcg_624291,__custom__.l10n_fr_pcg_613510,__custom__.fr_fiscal_position_us
__setup__.account_fiscal_position_account_780,__custom__.l10n_fr_pcg_607991,l10n_fr.1_pcg_6071,__custom__.fr_fiscal_position_us
__setup__.account_fiscal_position_account_781,__custom__.l10n_fr_pcg_607991,__custom__.l10n_fr_pcg_607021,__custom__.fr_fiscal_position_us
__setup__.account_fiscal_position_account_782,__custom__.l10n_fr_pcg_604991,__custom__.l10n_fr_pcg_604200,__custom__.fr_fiscal_position_us
__setup__.account_fiscal_position_account_783,__custom__.l10n_fr_pcg_604991,__custom__.l10n_fr_pcg_604300,__custom__.fr_fiscal_position_us
__setup__.account_fiscal_position_account_784,__custom__.l10n_fr_pcg_624291,l10n_fr.1_pcg_6242,__custom__.fr_fiscal_position_us
__setup__.account_fiscal_position_account_785,__custom__.l10n_fr_pcg_706993,__custom__.l10n_fr_pcg_706001,__custom__.fr_fiscal_position_jp
__setup__.account_fiscal_position_account_786,__custom__.l10n_fr_pcg_707993,l10n_fr.1_pcg_7072,__custom__.fr_fiscal_position_jp
__setup__.account_fiscal_position_account_787,__custom__.l10n_fr_pcg_706993,__custom__.l10n_fr_pcg_706140,__custom__.fr_fiscal_position_jp
__setup__.account_fiscal_position_account_788,__custom__.l10n_fr_pcg_706993,__custom__.l10n_fr_pcg_706150,__custom__.fr_fiscal_position_jp
__setup__.account_fiscal_position_account_789,__custom__.l10n_fr_pcg_706993,__custom__.l10n_fr_pcg_706130,__custom__.fr_fiscal_position_jp
__setup__.account_fiscal_position_account_790,__custom__.l10n_fr_pcg_708993,l10n_fr.1_pcg_7083,__custom__.fr_fiscal_position_jp
__setup__.account_fiscal_position_account_791,__custom__.l10n_fr_pcg_707993,__custom__.l10n_fr_pcg_707000,__custom__.fr_fiscal_position_jp
__setup__.account_fiscal_position_account_792,__custom__.l10n_fr_pcg_706993,__custom__.l10n_fr_pcg_706100,__custom__.fr_fiscal_position_jp
__setup__.account_fiscal_position_account_793,__custom__.l10n_fr_pcg_706993,__custom__.l10n_fr_pcg_706111,__custom__.fr_fiscal_position_jp
__setup__.account_fiscal_position_account_794,__custom__.l10n_fr_pcg_706993,__custom__.l10n_fr_pcg_706160,__custom__.fr_fiscal_position_jp
__setup__.account_fiscal_position_account_795,__custom__.l10n_fr_pcg_707993,l10n_fr.1_pcg_7071,__custom__.fr_fiscal_position_jp
__setup__.account_fiscal_position_account_796,__custom__.l10n_fr_pcg_708993,l10n_fr.1_pcg_7085,__custom__.fr_fiscal_position_jp
__setup__.account_fiscal_position_account_797,__custom__.l10n_fr_pcg_607993,__custom__.l10n_fr_pcg_607050,__custom__.fr_fiscal_position_jp
__setup__.account_fiscal_position_account_798,__custom__.l10n_fr_pcg_604993,l10n_fr.1_pcg_604,__custom__.fr_fiscal_position_jp
__setup__.account_fiscal_position_account_799,__custom__.l10n_fr_pcg_624293,__custom__.l10n_fr_pcg_613510,__custom__.fr_fiscal_position_jp
__setup__.account_fiscal_position_account_800,__custom__.l10n_fr_pcg_607993,l10n_fr.1_pcg_6071,__custom__.fr_fiscal_position_jp
__setup__.account_fiscal_position_account_801,__custom__.l10n_fr_pcg_607993,__custom__.l10n_fr_pcg_607021,__custom__.fr_fiscal_position_jp
__setup__.account_fiscal_position_account_802,__custom__.l10n_fr_pcg_604993,__custom__.l10n_fr_pcg_604200,__custom__.fr_fiscal_position_jp
__setup__.account_fiscal_position_account_803,__custom__.l10n_fr_pcg_604993,__custom__.l10n_fr_pcg_604300,__custom__.fr_fiscal_position_jp
__setup__.account_fiscal_position_account_804,__custom__.l10n_fr_pcg_624293,l10n_fr.1_pcg_6242,__custom__.fr_fiscal_position_jp
__setup__.account_fiscal_position_account_805,__custom__.l10n_fr_pcg_707930,l10n_fr.1_pcg_7072,l10n_fr.1_fiscal_position_template_intraeub2b
__setup__.account_fiscal_position_account_806,__custom__.l10n_fr_pcg_706922,__custom__.l10n_fr_pcg_706140,l10n_fr.1_fiscal_position_template_intraeub2b
__setup__.account_fiscal_position_account_807,__custom__.l10n_fr_pcg_706920,__custom__.l10n_fr_pcg_706001,l10n_fr.1_fiscal_position_template_intraeub2b
__setup__.account_fiscal_position_account_808,__custom__.l10n_fr_pcg_706925,__custom__.l10n_fr_pcg_706150,l10n_fr.1_fiscal_position_template_intraeub2b
__setup__.account_fiscal_position_account_809,__custom__.l10n_fr_pcg_706926,__custom__.l10n_fr_pcg_706130,l10n_fr.1_fiscal_position_template_intraeub2b
__setup__.account_fiscal_position_account_810,__custom__.l10n_fr_pcg_708310,l10n_fr.1_pcg_7083,l10n_fr.1_fiscal_position_template_intraeub2b
__setup__.account_fiscal_position_account_811,__custom__.l10n_fr_pcg_707920,__custom__.l10n_fr_pcg_707000,l10n_fr.1_fiscal_position_template_intraeub2b
__setup__.account_fiscal_position_account_812,__custom__.l10n_fr_pcg_706921,__custom__.l10n_fr_pcg_706100,l10n_fr.1_fiscal_position_template_intraeub2b
__setup__.account_fiscal_position_account_813,__custom__.l10n_fr_pcg_706923,__custom__.l10n_fr_pcg_706111,l10n_fr.1_fiscal_position_template_intraeub2b
__setup__.account_fiscal_position_account_814,__custom__.l10n_fr_pcg_706927,__custom__.l10n_fr_pcg_706160,l10n_fr.1_fiscal_position_template_intraeub2b
__setup__.account_fiscal_position_account_815,__custom__.l10n_fr_pcg_707950,l10n_fr.1_pcg_7071,l10n_fr.1_fiscal_position_template_intraeub2b
__setup__.account_fiscal_position_account_816,__custom__.l10n_fr_pcg_708955,l10n_fr.1_pcg_7085,l10n_fr.1_fiscal_position_template_intraeub2b
__setup__.account_fiscal_position_account_817,__custom__.l10n_fr_pcg_707910,l10n_fr.1_pcg_7072,l10n_fr.1_fiscal_position_template_import_export
__setup__.account_fiscal_position_account_818,__custom__.l10n_fr_pcg_706960,__custom__.l10n_fr_pcg_706960,l10n_fr.1_fiscal_position_template_import_export
__setup__.account_fiscal_position_account_819,__custom__.l10n_fr_pcg_706990,__custom__.l10n_fr_pcg_706001,l10n_fr.1_fiscal_position_template_import_export
__setup__.account_fiscal_position_account_820,__custom__.l10n_fr_pcg_706970,__custom__.l10n_fr_pcg_706150,l10n_fr.1_fiscal_position_template_import_export
__setup__.account_fiscal_position_account_821,__custom__.l10n_fr_pcg_706950,__custom__.l10n_fr_pcg_706130,l10n_fr.1_fiscal_position_template_import_export
__setup__.account_fiscal_position_account_822,__custom__.l10n_fr_pcg_708390,l10n_fr.1_pcg_7083,l10n_fr.1_fiscal_position_template_import_export
__setup__.account_fiscal_position_account_823,__custom__.l10n_fr_pcg_707900,__custom__.l10n_fr_pcg_707000,l10n_fr.1_fiscal_position_template_import_export
__setup__.account_fiscal_position_account_824,__custom__.l10n_fr_pcg_706910,__custom__.l10n_fr_pcg_706100,l10n_fr.1_fiscal_position_template_import_export
__setup__.account_fiscal_position_account_825,__custom__.l10n_fr_pcg_706911,__custom__.l10n_fr_pcg_706111,l10n_fr.1_fiscal_position_template_import_export
__setup__.account_fiscal_position_account_826,__custom__.l10n_fr_pcg_706980,__custom__.l10n_fr_pcg_706160,l10n_fr.1_fiscal_position_template_import_export
__setup__.account_fiscal_position_account_827,__custom__.l10n_fr_pcg_707940,l10n_fr.1_pcg_7071,l10n_fr.1_fiscal_position_template_import_export
__setup__.account_fiscal_position_account_828,__custom__.l10n_fr_pcg_708959,l10n_fr.1_pcg_7085,l10n_fr.1_fiscal_position_template_import_export
