id,code,name,user_type_id/id,tax_ids/id,currency_id/id,reconcile,deprecated
__setup__.account_account_meteotest_1449,1449,Wertberichtigungen langfristige Forderungen,account.data_account_type_current_assets,,,False,False
__setup__.account_account_meteotest_1480,1480,Beteiligung Egon AG,account.data_account_type_current_assets,,,False,False
__setup__.account_account_meteotest_1481,1481,Beteiligung Vela Solaris AG,account.data_account_type_current_assets,,,False,False
__setup__.account_account_meteotest_1482,1482,Beteiligung MT GmbH,account.data_account_type_current_assets,,,False,False
__setup__.account_account_meteotest_1489,1489,WB Beteiligungen,account.data_account_type_current_assets,,,False,False
__setup__.account_account_meteotest_1500,1500,Maschinen und Apparate,account.data_account_type_current_assets,,,False,False
__setup__.account_account_meteotest_1509,1509,Abschreibungen auf Maschinen und Apparate,account.data_account_type_current_assets,,,False,False
__setup__.account_account_meteotest_1510,1510,Mobiliar und Einrichtungen,account.data_account_type_current_assets,,,False,False
__setup__.account_account_meteotest_1519,1519,Abschreibungen auf Mobiliar und Einrichtungen,account.data_account_type_current_assets,,,False,False
__setup__.account_account_meteotest_1520,1520,"Büromaschinen, Informatik",account.data_account_type_current_assets,,,False,False
__setup__.account_account_meteotest_1529,1529,"Abschreibungen auf Büromaschinen, Informatik, Kommunikationstechnologie",account.data_account_type_current_assets,,,False,False
__setup__.account_account_meteotest_1530,1530,Fahrzeuge,account.data_account_type_current_assets,,,False,False
__setup__.account_account_meteotest_1539,1539,Abschreibungen auf Fahrzeuge,account.data_account_type_current_assets,,,False,False
__setup__.account_account_meteotest_1540,1540,Werkzeuge und Geräte,account.data_account_type_current_assets,,,False,False
__setup__.account_account_meteotest_1549,1549,Abschreibungen auf Werkzeuge und Geräte,account.data_account_type_current_assets,,,False,False
__setup__.account_account_meteotest_1550,1550,Installations de stockage,account.data_account_type_current_assets,,,False,False
__setup__.account_account_meteotest_1559,1559,Amortissements sur les installations de stockage,account.data_account_type_current_assets,,,False,False
__setup__.account_account_meteotest_1570,1570,Equipements et Installations,account.data_account_type_current_assets,,,False,False
__setup__.account_account_meteotest_1579,1579,Amortissements sur les équipements et installations,account.data_account_type_current_assets,,,False,False
__setup__.account_account_meteotest_1590,1590,Meteorologische Messgeräte ,account.data_account_type_current_assets,,,False,False
__setup__.account_account_meteotest_1599,1599,Amortissements sur les autres immobilisations corporelles meubles,account.data_account_type_current_assets,,,False,False
__setup__.account_account_meteotest_1600,1600,Geschäftsliegenschaft Muesmatt,account.data_account_type_current_assets,,,False,False
__setup__.account_account_meteotest_1609,1609,Abschreibungen auf Geschäftsliegenschaften,account.data_account_type_current_assets,,,False,False
__setup__.account_account_meteotest_1610,1610,Umbau Geschäftsliegenschaft Muesmatt,account.data_account_type_current_assets,,,False,False
__setup__.account_account_meteotest_1700,1700,"Patente, Know-how, Lizenzen, Rechte, Entwicklungen",account.data_account_type_current_assets,,,False,False
__setup__.account_account_meteotest_1709,1709,"Abschreibungen auf Patente, Know-how, Lizenzen, Rechte, Entwicklungen",account.data_account_type_current_assets,,,False,False
__setup__.account_account_meteotest_1770,1770,Goodwill,account.data_account_type_current_assets,,,False,False
__setup__.account_account_meteotest_1779,1779,Wertberichtigungen Goodwill,account.data_account_type_current_assets,,,False,False
__setup__.account_account_meteotest_1850,1850,"Nicht einbezahltes Aktien-, Stamm-, Anteilschein- oder",account.data_account_type_current_assets,,,False,False
__setup__.account_account_meteotest_2000,2000,Verbindlichkeiten aus L+L,account.data_account_type_payable,,,True,False
__setup__.account_account_meteotest_2001,2001,LÖ Verbindlichkeiten EUR,account.data_account_type_payable,,base.EUR,True,False
__setup__.account_account_meteotest_2002,2002,Verbindlichkeiten für Personalaufwand,account.data_account_type_payable,,,True,False
__setup__.account_account_meteotest_2030,2030,Erhaltene Anzahlungen,account.data_account_type_current_liabilities,,,False,False
__setup__.account_account_meteotest_2068,2068,Verbindlichkeiten ggü Revisionsstelle,account.data_account_type_current_liabilities,,,False,False
__setup__.account_account_meteotest_2100,2100,BEKB KK CHF 16 927.860.6.34 Umbaukonto,account.data_account_type_current_liabilities,,,False,False
__setup__.account_account_meteotest_2120,2120,Verbindlichkeiten aus Finanzierungsleasing,account.data_account_type_current_liabilities,,,False,False
__setup__.account_account_meteotest_2140,2140,Übrige verzinsliche Verbindlichkeiten,account.data_account_type_current_liabilities,,,False,False
__setup__.account_account_meteotest_2160,2160,Dettes envers l'actionnaire,account.data_account_type_current_liabilities,,,False,False
__setup__.account_account_meteotest_2170,2170,Verbindlichkeiten ggü Vorsorgeeinrichtung,account.data_account_type_current_liabilities,,,False,False
__setup__.account_account_meteotest_2200,2200,Umsatzsteuer MWSt.,account.data_account_type_current_liabilities,,,False,False
__setup__.account_account_meteotest_2201,2201,Kreditoren MWSt.,account.data_account_type_current_liabilities,,,False,False
__setup__.account_account_meteotest_2206,2206,Verrechnungssteuer,account.data_account_type_current_liabilities,,,False,False
__setup__.account_account_meteotest_2208,2208,Direkte Steuern,account.data_account_type_current_liabilities,,,False,False
